plan_vs_actual.dept_key,plan_vs_actual.division,plan_vs_actual.department,plan_vs_actual.channel,plan_vs_actual.fiscal_year,plan_vs_actual.fiscal_month,plan_vs_actual.fiscal_month_no,plan_vs_actual.has_actual,plan_vs_actual.plan_sales_dollars,plan_vs_actual.budget_sales_dollars,plan_vs_actual.budget_markdown_dollars,plan_vs_actual.budget_receipts_cost,plan_vs_actual.actual_sales_dollars,plan_vs_actual.plan_markdown_dollars,plan_vs_actual.actual_markdown_dollars,plan_vs_actual.actual_eom_retail,plan_vs_actual.plan_bom_retail,plan_vs_actual.plan_eom_retail,plan_vs_actual.plan_receipts_retail,plan_vs_actual.plan_shrink_dollars
Women Tops,Women,Tops,Wholesale,2026,Aug,7,false,11758.15,11757.89,267.47,393.89,,231.31,,,23425.03,12145.62,721.8,11.76
Girls Swim,Girls,Swim,Wholesale,2024,Aug,7,true,11744.53,11799.84,220.49,0,13879.39,209.45,254.96,10843.82,24990.84,13025.11,0,11.74
Women Sleepwear,Women,Sleepwear,Wholesale,2026,Jul,6,true,11734.72,11925.86,240.15,7949.9,12109.25,229.1,272.85,12174.48,9006.8,12240.95,15209.7,11.73
Baby Sets,Baby,Sets,Wholesale,2024,Jun,5,true,11690.88,11799.84,263.53,8543.54,11376.74,266.91,260.22,11589.79,4670.02,9912.77,17212.23,11.69
Baby Accessories,Baby,Accessories,Retail Stores,2024,Mar,2,true,11658.86,11806.21,1079.18,5688.11,11175.02,1301.64,1578.44,28596.87,24289.16,26167.04,14943.32,104.93
Women Dresses,Women,Dresses,Wholesale,2026,Nov,10,false,11603.31,11897.86,203.78,2799.49,,243.42,,,18226.96,12112.66,5744.04,11.6
Women Bottoms,Women,Bottoms,Retail Stores,2026,Aug,7,false,11599.07,11959.02,1291.06,4314.61,,1084.42,,,31551.06,31494.7,12731.53,104.39
Women Dresses,Women,Dresses,Retail Stores,2024,Aug,7,true,11555.33,11112.67,1301.83,6247.08,12911.11,1183.49,1271.11,30161.6,30075.27,33483.65,16251.2,104
Boys Sets,Boys,Sets,Wholesale,2024,Mar,2,true,11547.15,11362.81,249.18,3533.35,11493.49,207.73,199.87,8498.48,14546.86,8817.36,6036.93,11.55
Baby Accessories,Baby,Accessories,Retail Stores,2025,Aug,7,true,11538.57,11173.57,1015.74,4251.16,12956.91,1354.43,1128.36,30720.18,30186.74,33226.44,16036.54,103.85
Boys Bottoms,Boys,Bottoms,Wholesale,2024,May,4,true,11534.53,11217.13,220.94,5711.14,12666.51,261.08,323.81,9448.29,13518,11784.36,10073.5,11.53
Women Bottoms,Women,Bottoms,Retail Stores,2025,Oct,9,true,11514.77,11516.77,1359.34,6400.15,10490.26,1317.78,1496.25,35283.46,26649.45,32732.57,19019.3,103.63
Women Bottoms,Women,Bottoms,Wholesale,2024,Oct,9,true,11493.8,11487.68,249.49,8279.38,11565.31,202,227.71,9557.46,7191.4,11314.37,15830.26,11.49
Boys Sleepwear,Boys,Sleepwear,Retail Stores,2024,Dec,11,true,11476.29,11031.85,1003.67,3323.04,11090.62,1127.33,1484.54,26602.93,30610.2,26429.28,8525.99,103.29
Boys Swim,Boys,Swim,Wholesale,2025,Nov,10,true,11472.37,11292.89,251.13,2312.45,12487.69,218.37,229.79,9749.43,19543.85,11371.31,3529.67,11.47
Boys Sleepwear,Boys,Sleepwear,Retail Stores,2025,Nov,10,true,11462.62,11608.91,1283.51,8567.34,11893.17,1347.12,1409.05,30120.46,22678.2,32338.04,22572.75,103.16
Boys Sleepwear,Boys,Sleepwear,Wholesale,2026,Oct,9,false,11457.95,10817.26,215.44,7896.26,,227.58,,,7526.65,10841.96,15012.3,11.46
Baby Sets,Baby,Sets,Retail Stores,2025,Sep,8,true,11453.06,11487.98,1366.12,3087.19,11392.19,1145.39,1442.61,25927.09,31317.24,26374.14,7758.43,103.08
Baby Sets,Baby,Sets,Wholesale,2024,Mar,2,true,11437.26,11362.81,203.23,3576.08,10668.33,239.22,271.72,8739.9,14199.02,8651.23,6140.12,11.44
Baby Accessories,Baby,Accessories,Retail Stores,2024,Oct,9,true,11418.79,11137.93,1291.04,7186.25,11291.14,1290.06,1352.66,31801.45,23521.35,32459.79,21750.06,102.77
Boys Sleepwear,Boys,Sleepwear,Ecommerce,2024,Feb,1,true,11417.57,11512.73,1597.06,5221.12,11754.32,1425.8,1583.06,34132.44,34704.57,34084.78,12269.25,45.67
Boys Sets,Boys,Sets,Retail Stores,2026,Feb,1,true,11379.22,10559.27,943.47,2395.12,13223.36,1241.33,1258.91,28941.9,35945.06,30936.42,7714.33,102.41
Boys Sleepwear,Boys,Sleepwear,Ecommerce,2025,Jan,12,true,11364.96,11173.57,1301.26,0,11540.87,1568.63,1672.12,54708.87,67970.79,54991.74,0,45.46
Women Bottoms,Women,Bottoms,Wholesale,2026,Sep,8,false,11316.59,11757.89,262.31,6864.68,,221.28,,,7078.54,8699.86,13170.5,11.32
Boys Sleepwear,Boys,Sleepwear,Wholesale,2026,Jun,5,true,11301.13,10582.1,243.23,8057.72,11266.37,218.64,218.61,9102.12,4445.09,9499.56,16585.54,11.3
Baby Sets,Baby,Sets,Retail Stores,2024,Mar,2,true,11282.37,11244.01,1055.62,5795.66,11879.16,1303.2,1762.89,25872.33,23214.45,26585.14,16057.8,101.54
Boys Sets,Boys,Sets,Retail Stores,2025,Sep,8,true,11261.82,11487.98,1137.08,3048.02,13007.11,1089.34,848.84,22809.91,32149.37,25018.78,5321.93,101.36
Boys Sets,Boys,Sets,Retail Stores,2024,Mar,2,true,11223.07,11244.01,1032.37,5632.95,10234.78,1143.45,1480.97,25026.1,23079.15,25037.29,14425.66,101.01
Women Sleepwear,Women,Sleepwear,Wholesale,2026,Oct,9,false,11208.2,11589.92,248.66,8470.94,,240.76,,,7185.83,10818.55,15092.89,11.21
Women Bottoms,Women,Bottoms,Wholesale,2024,Jun,5,true,11189.64,11237.94,236.31,8272.86,11726.89,192.39,190.63,9494.24,4495.17,8973.93,15871.98,11.19
Women Sleepwear,Women,Sleepwear,Retail Stores,2024,Nov,10,true,11180.48,10910.63,1116.63,8708.67,12079.23,1231.26,1128.99,32580.31,23114.45,33123.1,22521.01,100.62
Women Bottoms,Women,Bottoms,Retail Stores,2025,Sep,8,true,11153.47,10940.93,976.7,3723.94,9884.3,1121.52,1084.27,26763.53,29634.02,26649.45,9390.8,100.38
Baby Sets,Baby,Sets,Retail Stores,2024,Oct,9,true,11137.09,10607.55,1043.6,6623.09,11307.94,1131.82,1008.75,28241.41,21847.49,30894.54,21416.18,100.23
Women Tops,Women,Tops,Retail Stores,2024,Feb,1,true,11123.3,11213.7,1337.75,4508.66,12502.53,1141.34,1017.88,30270.05,31962.08,30958.31,11360.97,100.11
Boys Sleepwear,Boys,Sleepwear,Wholesale,2026,Mar,2,true,11087.9,10190.17,226.97,3719.55,11522.44,210.47,203.3,8526.3,13336.72,8572.21,6544.94,11.09
Women Sleepwear,Women,Sleepwear,Wholesale,2026,Jun,5,true,11060.71,11337.96,257.63,8390.87,10474.71,241.16,301.45,9732.49,4702.67,9006.8,15617.07,11.06
Boys Sleepwear,Boys,Sleepwear,Retail Stores,2026,May,4,true,11060.08,10369.01,1165.56,3432.05,10788.07,1016.92,1129.26,31185.3,34628.34,31523.52,9071.73,99.54
Girls Outerwear,Girls,Outerwear,Retail Stores,2025,Nov,10,true,11043.32,11194.3,1247.29,7272.35,9914.78,1307.97,1790.28,31633.24,24186.27,31280.54,19544.94,99.39
Women Tops,Women,Tops,Wholesale,2024,Nov,10,true,10997.66,10613.61,183.55,1746.46,10732.63,236.78,297.66,11085.27,18463.12,11193.76,3976.08,11
Baby Accessories,Baby,Accessories,Retail Stores,2024,Jun,5,true,10983.83,11026.55,1227.75,585.39,10787.02,1049.7,1082.74,25719.37,33798.18,25683.48,4017.68,98.85
Baby Accessories,Baby,Accessories,Wholesale,2025,Sep,8,true,10959.36,10985.65,235.27,6711.53,11336.5,205.1,250.03,8772.87,7557.78,8347.28,11964.93,10.96
Boys Sleepwear,Boys,Sleepwear,Retail Stores,2026,Mar,2,true,10950.22,10083.62,1147.27,4627.73,12775.6,1128.45,1182.25,22833.44,22598.53,24759.64,14338.33,98.55
Girls Swim,Girls,Swim,Wholesale,2024,Jan,12,true,10930.13,10619.86,185.39,7039.47,9886.74,186.26,215.3,11263.93,7983.7,11271.99,14415.61,10.93
Girls Swim,Girls,Swim,Wholesale,2024,Apr,3,true,10906.26,10451.29,211.83,1493.65,9322.99,206.78,235.7,12283.59,17284.48,11478.1,5317.57,10.91
Girls Outerwear,Girls,Outerwear,Ecommerce,2024,Feb,1,true,10888.84,11101.56,1284.56,4558.94,10085.99,1575.83,1493.45,34119.82,32731.51,32966.15,12742.87,43.56
Women Sleepwear,Women,Sleepwear,Wholesale,2025,Feb,1,true,10880.99,11031.92,227.46,9845.33,10486.95,193.57,193.5,13793.26,4071.82,10677.04,17690.67,10.88
Baby Accessories,Baby,Accessories,Retail Stores,2026,Feb,1,true,10878.22,11087.23,1325.45,1666.95,11850.93,1185.19,1297.87,28481.51,39503.07,29462.32,2120.56,97.9
Women Tops,Women,Tops,Retail Stores,2025,Jan,12,true,10867.73,10883.35,1044.45,0,10823.18,1292.55,1419.42,51703.79,64054.23,51796.15,0,97.81
Girls Outerwear,Girls,Outerwear,Wholesale,2026,Feb,1,true,10846.72,11715.89,210.85,10018.73,11232.46,237.43,251.57,8563.88,4144.03,10341.66,17292.62,10.85
Women Sleepwear,Women,Sleepwear,Wholesale,2026,Mar,2,true,10836.45,10918.04,218.4,3294.42,10306.11,200.82,218.04,9836.42,12717.91,8813.33,7143.53,10.84
Girls Outerwear,Girls,Outerwear,Retail Stores,2024,Dec,11,true,10835.96,10637.86,1216.89,2779.23,10673.14,1130.14,1188.02,23707.6,27097.47,23472.77,8438.92,97.52
Women Bottoms,Women,Bottoms,Wholesale,2024,Mar,2,true,10815.93,10821.72,205,3442.69,9582.98,216.69,255.25,9681.45,14039.4,8748.9,5752.94,10.82
Baby Sets,Baby,Sets,Retail Stores,2026,Feb,1,true,10807.04,10559.27,1021.55,3535.32,9879.21,1303.67,1496.76,30518.91,33762.88,30553.61,8998.69,97.26
Girls Outerwear,Girls,Outerwear,Ecommerce,2025,Jan,12,true,10792.69,10774.52,1353.25,0,10299.04,1309.44,1447.07,53563.81,65358.17,53212.88,0,43.17
Women Dresses,Women,Dresses,Wholesale,2024,Sep,8,true,10785.11,10925.78,246.63,6787.97,12116.33,226.82,215.66,7292.83,7273.86,8893.3,12642.15,10.79
Women Bottoms,Women,Bottoms,Retail Stores,2026,Jul,6,true,10750.95,11415.42,1094.41,6263.27,10456.02,987.35,1062,33123.13,30800.96,31551.06,12585.17,96.76
Baby Sets,Baby,Sets,Retail Stores,2025,Aug,7,true,10743.73,10641.5,1163.67,4581.67,11197.91,1028.53,1310.28,29542.04,28806.39,31317.24,14379.79,96.69
Women Bottoms,Women,Bottoms,Retail Stores,2024,May,4,true,10712.48,11011.65,1030.29,3247.87,10634.92,997.94,1186.87,32624.93,33823.82,32246.23,10229.24,96.41
Girls Swim,Girls,Swim,Wholesale,2025,May,4,true,10708.92,10569.29,221.4,4641.08,10059.03,206.7,246.38,11602.17,11899.3,10442.9,9469.93,10.71
Baby Accessories,Baby,Accessories,Retail Stores,2025,Jul,6,true,10699.78,10665.68,1168.24,5269.82,10522.89,1273.81,1089.26,30720,31053.3,30186.74,11203.33,96.3
Boys Sets,Boys,Sets,Wholesale,2026,Nov,10,false,10692.55,9994.2,218.58,2353.91,,201.23,,,16911.08,11132.21,5125.6,10.69
Women Sleepwear,Women,Sleepwear,Retail Stores,2026,May,4,true,10686.6,11109.65,1042.36,4260.2,11355.72,1006.68,1382.04,28239.49,32892.47,28973.78,7870.77,96.18
Boys Sets,Boys,Sets,Wholesale,2025,Sep,8,true,10684.27,10462.53,239.91,6142.13,10559.67,194.46,215.39,8791.33,7151.85,8433.73,12171.29,10.68
Women Dresses,Women,Dresses,Wholesale,2025,Nov,10,true,10668.81,10082.93,186.12,2562.94,9306.07,214.54,279.35,12102.6,16461.98,10414.88,4846.92,10.67
Boys Sets,Boys,Sets,Retail Stores,2025,Aug,7,true,10656.9,10641.5,1124.51,5018.41,11500.98,1166.21,1223.2,30241.03,30112,32149.37,13956.38,95.91
Women Sleepwear,Women,Sleepwear,Ecommerce,2024,Jan,12,true,10655.2,10501.48,1482.04,0,10460.98,1551.13,2008.91,43806.74,56319.06,44070.12,0,42.62
Boys Sets,Boys,Sets,Retail Stores,2024,Jun,5,true,10651.58,10501.48,1062.19,1084.59,11247.42,1274.47,1184.48,25053.49,34549.82,25718.46,3190.55,95.86
Women Sleepwear,Women,Sleepwear,Retail Stores,2026,Mar,2,true,10629.91,10803.88,975.07,5259.43,10007.14,1157.38,1425.32,23054.22,22588.24,23299.45,12594.16,95.67
Women Dresses,Women,Dresses,Retail Stores,2024,Jul,6,true,10567.31,10607.55,1005.54,4505.55,10394.81,1224.67,1668.23,29071.13,28747.76,30075.27,13214.61,95.11
Women Bottoms,Women,Bottoms,Retail Stores,2024,Mar,2,true,10565.54,10708.58,1082.19,5176.49,9810.08,1103.17,995.44,24999.25,20687.29,25309.76,16386.27,95.09
Boys Swim,Boys,Swim,Retail Stores,2024,Feb,1,true,10555.55,10466.12,1038.47,3884.02,10281.75,1197.11,1256.91,29253.91,30431.92,29740.23,11155.97,95
Boys Swim,Boys,Swim,Wholesale,2026,Apr,3,true,10547.17,9719.85,207.4,1446.24,11199.22,214.18,160.81,9796.71,17164.22,10924.14,4531.82,10.55
Boys Swim,Boys,Swim,Retail Stores,2025,Jan,12,true,10536.32,10157.79,1141.49,0,12773.29,1039.61,1080.53,41346.86,55300.7,43629.94,0,94.83
Boys Sleepwear,Boys,Sleepwear,Wholesale,2025,Feb,1,true,10518.86,10296.45,219.59,8819.63,9206.73,204.95,179.26,12441.75,3659.72,10678.98,17753.58,10.52
Boys Swim,Boys,Swim,Wholesale,2026,Jan,12,false,10470.8,9876.62,202.36,6716.2,,219.03,,,8225.87,10462.06,12936.49,10.47
Baby Accessories,Baby,Accessories,Retail Stores,2024,Sep,8,true,10466.79,10581.03,1165.6,3355.28,10653.21,1140,1083.26,23116.1,28888.53,23521.35,6333.81,94.2
Women Tops,Women,Tops,Wholesale,2026,Jan,12,false,10464.01,10582.1,235.19,6493.08,,202.5,,,7911.54,10743.42,13508.86,10.46
Boys Sets,Boys,Sets,Retail Stores,2024,Oct,9,true,10449.25,10607.55,1123.42,7495.27,12599.14,1018.63,1027.47,29550.71,23394.16,30665.33,18833.09,94.04
Women Dresses,Women,Dresses,Retail Stores,2026,Jan,12,false,10431.88,10701.96,969.42,0,,1074.75,,,60256.86,48656.34,0,93.89
Women Bottoms,Women,Bottoms,Retail Stores,2025,Aug,7,true,10413.88,10134.76,920.39,3700.62,10698,1081.14,1183.59,28682.71,26743.99,29634.02,14478.78,93.72
Women Dresses,Women,Dresses,Retail Stores,2025,Feb,1,true,10403.72,10653.01,1109.71,2528.7,9211.34,969.28,1213.96,30608.4,34675.78,29669.67,6460.53,93.63
Baby Sets,Baby,Sets,Retail Stores,2024,Jun,5,true,10332.65,10501.48,1217.45,1792.19,10284.89,1215.47,1345.11,23676.1,34193.5,23902.19,1349.8,92.99
Boys Sleepwear,Boys,Sleepwear,Retail Stores,2024,Nov,10,true,10306.27,10183.25,1138.82,6972.14,10334.17,995.91,1157.54,29200.72,21458.65,30610.2,20546.48,92.76
Women Tops,Women,Tops,Wholesale,2025,Aug,7,true,10306.18,9964.31,219.78,0,10728.13,182.96,173.83,9833.27,20551.95,10262.08,209.57,10.31
Women Sleepwear,Women,Sleepwear,Wholesale,2025,Jul,6,true,10241.03,10106.66,185.51,6861.28,9968.08,224.18,236.39,10750.9,7706.14,10596.23,13365.54,10.24
Boys Sleepwear,Boys,Sleepwear,Ecommerce,2024,Jan,12,true,10232,9801.38,1361.61,0,10206.73,1509.18,1494.79,41240.87,52987.69,41205.58,0,40.93
Women Tops,Women,Tops,Wholesale,2026,Apr,3,true,10217.09,10414.13,219.57,2198.08,11455.32,174.11,183.62,8727.51,16205.99,10205.32,4400.73,10.22
Women Sleepwear,Women,Sleepwear,Retail Stores,2026,Oct,9,false,10186.16,10192.34,1145.66,7156.25,,1223.02,,,22809.94,28110.03,16800.94,91.68
Women Bottoms,Women,Bottoms,Wholesale,2025,Sep,8,true,10185.08,9964.31,205.33,5635.76,9701.74,224.57,217.19,7075.11,6697.07,7698.02,11420.78,10.19
Baby Sets,Baby,Sets,Wholesale,2025,Sep,8,true,10182.89,10462.53,224.79,6161.37,10955.8,223.86,325.12,7088.72,7133.43,7851.29,11134.79,10.18
Girls Outerwear,Girls,Outerwear,Wholesale,2025,Feb,1,true,10177.78,9928.72,190.64,8437.77,10472.81,228.75,242.6,9693.65,3346.06,10025.07,17095.72,10.18
Women Sleepwear,Women,Sleepwear,Retail Stores,2025,Apr,3,true,10153.16,10192.34,999.29,6988.68,9978.12,1047.5,867.68,31970.12,20368.12,30901.5,21825.43,91.38
Women Bottoms,Women,Bottoms,Retail Stores,2024,Jun,5,true,10129.85,10001.41,1181.92,1942.77,10908.78,1034.12,978.71,23077.38,32246.23,24092.94,3101.86,91.17
Baby Accessories,Baby,Accessories,Retail Stores,2024,Aug,7,true,10129.12,9801.38,1127.16,3323.36,9815.72,973.25,1106.12,28506.25,25951.99,28888.53,14130.06,91.16
Girls Outerwear,Girls,Outerwear,Wholesale,2026,Jul,6,true,10123.04,10733.27,227.64,6858.43,9129.13,217.09,262.71,9236.18,7668.8,9555.25,12236.71,10.12
Baby Accessories,Baby,Accessories,Wholesale,2026,Nov,10,false,10119.31,10493.91,196.6,2126.17,,185.03,,,16909.17,9909.76,3315.05,10.12
Girls Swim,Girls,Swim,Wholesale,2024,Dec,11,true,10115.55,10114.15,179.73,2087.69,9497.62,223.92,197.98,8599.46,13744.43,7983.7,4588.87,10.12
Boys Swim,Boys,Swim,Wholesale,2026,Dec,11,false,10103.28,9406.31,199.03,1826.79,,197.38,,,13814.4,8225.87,4722.24,10.1
Baby Sets,Baby,Sets,Retail Stores,2024,Sep,8,true,10092.88,10077.18,965.12,2306.27,8925.47,1089.06,1193.65,23828.35,24984.59,21847.49,8135.67,90.84
Boys Sleepwear,Boys,Sleepwear,Retail Stores,2026,Oct,9,false,10092.76,9512.85,902.21,5798.61,,1151.1,,,20673.89,27407.4,18068.2,90.83
Women Bottoms,Women,Bottoms,Retail Stores,2024,Oct,9,true,10071.02,10102.43,940.65,6894.88,10803.39,1182.65,1764.65,29049.51,23434.41,30389.48,18299.38,90.64
Boys Sets,Boys,Sets,Retail Stores,2025,Jul,6,true,10051.76,10157.79,968.39,4759.13,11929.85,1075.18,1384.54,28610.7,28527.08,30112,12802.34,90.47
Boys Swim,Boys,Swim,Wholesale,2024,Nov,10,true,10047.42,9906.04,193.51,2015.15,10860.77,182.01,232.78,8887.81,16481.07,9648.74,3407.16,10.05
Girls Outerwear,Girls,Outerwear,Retail Stores,2026,Apr,3,true,10045.81,10824.27,1082.39,8388,10541.5,1083.64,958.31,28865.44,21016.11,29403.75,19607.5,90.41
Boys Sleepwear,Boys,Sleepwear,Retail Stores,2026,Jun,5,true,10023.24,9417.72,886.36,0,10302.19,1068.38,1162.38,21680.62,31523.52,22085.63,1743.93,90.21
Boys Sets,Boys,Sets,Retail Stores,2024,Sep,8,true,10008,10077.18,915.97,2652.75,8171.45,981.01,914.89,25076.93,28641.63,23394.16,5831.61,90.07
Baby Accessories,Baby,Accessories,Wholesale,2024,Sep,8,true,9950.3,9636.54,201.21,5644.29,10067.61,224.59,211.78,7844.87,7343.43,8431.09,11272.49,9.95
Women Tops,Women,Tops,Wholesale,2026,Dec,11,false,9906.37,10078.19,172.47,2163.97,,198.58,,,13594.66,7911.54,4431.73,9.91
Women Bottoms,Women,Bottoms,Retail Stores,2025,Jul,6,true,9888.34,9674.09,889.19,5287.73,9624.64,1180,1503.88,27554.35,28157.85,26743.99,9743.47,89
Girls Outerwear,Girls,Outerwear,Retail Stores,2024,Nov,10,true,9887.79,9819.56,1177.02,6588.67,9931.94,943.19,990.34,27624.8,18745.69,27097.47,19271.74,88.99
Baby Sets,Baby,Sets,Wholesale,2026,Nov,10,false,9880.93,9994.2,187.83,1542.3,,200.75,,,15739.68,9375.12,3727,9.88
Women Sleepwear,Women,Sleepwear,Retail Stores,2026,Jun,5,true,9829.14,10090.42,950.26,953.98,9552.14,1034.38,960.91,21945.44,28973.78,21583.08,3561.28,88.46
Women Sleepwear,Women,Sleepwear,Wholesale,2025,Oct,9,true,9815.72,9821.96,212.08,6939.69,11168.6,171.13,209.33,6934.39,5559.62,9793.74,14230.78,9.82
Baby Sets,Baby,Sets,Retail Stores,2025,Jul,6,true,9811.83,10157.79,1096.17,4310.03,9886.87,967.14,901,29671.15,26208,28806.39,13465.67,88.31
Girls Outerwear,Girls,Outerwear,Wholesale,2026,Oct,9,false,9797.73,10430.93,177.89,7768.94,,181.03,,,5759.88,9824.41,14053.09,9.8
Women Dresses,Women,Dresses,Wholesale,2026,Aug,7,false,9777.46,9798.24,208.71,0,,185.93,,,18639.41,9301.47,635.23,9.78
Women Sleepwear,Women,Sleepwear,Wholesale,2024,Feb,1,true,9769.32,9677.12,205.92,4976.84,9150.56,210.82,242.4,10916.68,10085.08,9979.03,9883.86,9.77
Women Bottoms,Women,Bottoms,Retail Stores,2024,Sep,8,true,9761.73,9597.31,952.58,2652.8,10529.64,971.13,861.07,22609.61,27601.07,23434.41,6654.05,87.86
Women Bottoms,Women,Bottoms,Retail Stores,2026,Feb,1,true,9707.98,10056.44,993.53,2100.93,8229.61,1073.41,1041.11,28348.09,35640.74,26774.46,2002.48,87.37
Boys Sets,Boys,Sets,Retail Stores,2024,Aug,7,true,9687.14,9334.65,985.54,4083.24,8571.74,974.45,1093.47,30176.46,26596.1,28641.63,12794.31,87.18
Women Sleepwear,Women,Sleepwear,Retail Stores,2025,May,4,true,9677.37,9414.96,874.91,2764.75,10789.32,1117.28,1348.33,26924.73,30901.5,28390.91,8371.16,87.1
Girls Outerwear,Girls,Outerwear,Ecommerce,2024,Jan,12,true,9674.66,9451.33,1137.4,0,10859.27,1242.34,1571.41,41113.96,53580.09,42624.39,0,38.7
Girls Outerwear,Girls,Outerwear,Wholesale,2026,Jun,5,true,9595.11,10204.17,217.41,7631.27,8722.84,177.06,189.53,7381.64,4108.85,7668.8,13341.71,9.6
Girls Swim,Girls,Swim,Wholesale,2024,May,4,true,9586.11,9271.3,200,4232.44,9741.91,191.04,182.7,9914.18,11478.1,9787.17,8095.8,9.59
Boys Sleepwear,Boys,Sleepwear,Retail Stores,2025,Apr,3,true,9579.83,9512.85,1098.22,5955.05,10578.79,1026.65,1055.69,27264.72,20574.62,29105.5,19223.58,86.22
Women Tops,Women,Tops,Retail Stores,2024,Jan,12,true,9550.07,9546.8,1143.8,0,10363.84,962.21,1065.91,43187.09,54704.14,44105.92,0,85.95
Boys Sleepwear,Boys,Sleepwear,Retail Stores,2026,Sep,8,false,9546.59,9037.21,932.05,3195.59,,1129.97,,,26108.45,20673.89,5327.93,85.92
Boys Swim,Boys,Swim,Wholesale,2025,Aug,7,true,9532.04,9300.02,161.74,312.16,10098.19,171.87,162.56,8916.27,19185.92,9472.49,0,9.53
Women Sleepwear,Women,Sleepwear,Retail Stores,2026,Sep,8,false,9489.1,9682.73,1120.75,1931.14,,1060.4,,,23963.32,22809.94,9481.53,85.4
Girls Outerwear,Girls,Outerwear,Retail Stores,2025,Apr,3,true,9473.51,9173.11,913.27,5447.17,7142.35,973.98,1100.81,29185.4,19889.46,27771.84,18415.12,85.26
Boys Sets,Boys,Sets,Retail Stores,2026,Jan,12,false,9449.32,8989.65,1072.76,0,,954.2,,,53141.23,42652.67,0,85.04
Baby Sets,Baby,Sets,Wholesale,2024,Sep,8,true,9443.67,9177.65,169.16,5506.3,9908.73,176.56,216.98,7162.24,6455.07,7459.47,10634.08,9.44
Women Dresses,Women,Dresses,Retail Stores,2024,Feb,1,true,9440.33,9344.75,1030.55,4103.71,9341.09,1114.17,1255.14,25017.24,25264.65,25815.18,11189.99,84.96
Women Sleepwear,Women,Sleepwear,Wholesale,2025,Mar,2,true,9415.04,9252.57,185.69,2627.48,10085.24,204.33,172.76,7157,10677.04,7830.39,6782.13,9.42
Boys Swim,Boys,Swim,Wholesale,2026,May,4,true,9414.54,8622.45,173.33,3922.25,9807.91,196.04,220.73,8036.62,10924.14,9139.63,7835.49,9.41
Baby Accessories,Baby,Accessories,Retail Stores,2025,Feb,1,true,9381.7,9395.96,881.8,2678.81,9893.28,1061.32,1110.3,26821.69,33729.9,27215.6,4013.16,84.44
Boys Sleepwear,Boys,Sleepwear,Wholesale,2025,Oct,9,true,9359.1,9167.17,165.53,6763.76,8944.48,188.27,188.22,9209.38,5356.67,9790.04,13990.1,9.36
Baby Accessories,Baby,Accessories,Retail Stores,2024,Jul,6,true,9353.87,9355.86,881.24,4828.51,9117.3,1025.08,1064.97,25878.62,25683.48,25951.99,10731.64,84.18
Women Sleepwear,Women,Sleepwear,Wholesale,2025,Jun,5,true,9341.96,9608.44,185.55,7094.64,10698.69,169.09,200.88,5204.27,3868.12,7706.14,13358.42,9.34
Women Sleepwear,Women,Sleepwear,Retail Stores,2025,Mar,2,true,9328.4,9155.83,892.19,5107.7,9608.96,996.78,1037.06,20008.26,19846.94,20368.12,10930.31,83.96
Boys Sleepwear,Boys,Sleepwear,Wholesale,2025,Jul,6,true,9303.4,9432.88,197.63,5991.86,9905.63,200.47,209.96,8360.22,6995.19,9426.34,11944.31,9.3
Women Dresses,Women,Dresses,Retail Stores,2025,Jan,12,true,9257.38,9069.46,1005.26,0,9695.47,896.05,880.82,42510.33,53164.5,42927.75,0,83.32
Boys Sets,Boys,Sets,Retail Stores,2025,Feb,1,true,9244.53,8948.53,852.81,1000.89,10575.2,828.88,806.06,26714.82,31537.08,27802.19,6421.72,83.2
Baby Sets,Baby,Sets,Retail Stores,2024,Aug,7,true,9239.97,9334.65,1038.06,3684.83,9353.35,1026.4,1131.05,24555.01,27190.42,24984.59,8143.7,83.16
Women Sleepwear,Women,Sleepwear,Retail Stores,2024,Apr,3,true,9220.06,8940.65,874.66,6284.36,9421.58,876.32,708.41,23398.17,19589.19,25276.82,15866.98,82.98
Baby Accessories,Baby,Accessories,Retail Stores,2026,Jan,12,false,9195.85,9439.13,1108.34,0,,1028.92,,,55488.61,45181.07,0,82.76
Baby Sets,Baby,Sets,Retail Stores,2024,Jul,6,true,9194.92,8910.34,820.12,4335.57,8891.53,1097.74,1343.58,27257.52,23902.19,27190.42,13663.65,82.75
Girls Outerwear,Girls,Outerwear,Retail Stores,2026,May,4,true,9193.62,9998.69,1189.91,3055.17,7998.8,1016.36,810.54,26533.95,29403.75,25727.38,6616.36,82.74
Boys Sets,Boys,Sets,Retail Stores,2024,Jul,6,true,9169.2,8910.34,932.57,4179.05,9361.15,861.16,1193.49,25855.88,25718.46,26596.1,10990.52,82.52
Girls Outerwear,Girls,Outerwear,Retail Stores,2026,Mar,2,true,9161.16,9723.49,1078.47,4311.95,7797.52,1081.17,1314.95,22633.72,17667.57,21016.11,13673.32,82.45
Boys Sleepwear,Boys,Sleepwear,Wholesale,2025,Jun,5,true,9154.66,8967.88,161.54,6668.56,8174.65,162.47,180.04,6934.32,3758.53,6995.19,12562.94,9.15
Boys Sleepwear,Boys,Sleepwear,Wholesale,2026,Sep,8,false,9112.61,8230.52,141.73,4753.81,,182.68,,,5953.28,7526.65,10877.77,9.11
Baby Accessories,Baby,Accessories,Wholesale,2025,Nov,10,true,9096.92,8893.15,175.62,1527.61,9315.02,184.66,157.47,8551.35,14560.16,8705.71,3436.22,9.1
