style_month.style_key,style_month.style_name,style_month.print_name,style_month.division,style_month.department,style_month.dept_key,style_month.class_name,style_month.season,style_month.lifecycle,style_month.channel,style_month.fiscal_year,style_month.units_sold,style_month.sales_dollars,style_month.on_hand_units,style_month.on_order_units
ST-0083,Snowdrop Bib Set,Snowdrop,Baby,Accessories,Baby Accessories,Bib Set,Holiday,Carryover,Ecommerce,2026,787,17796.6,1743,1101
ST-0078,Tulip Garden Bonnet,Tulip Garden,Baby,Accessories,Baby Accessories,Bonnet,Spring,New,Wholesale,2026,821,17727.69,1255,784
ST-0016,Cherry Blossom Short,Cherry Blossom,Girls,Bottoms,Girls Bottoms,Short,Spring,Carryover,Retail Stores,2026,357,17584.35,552,284
ST-0035,Palm Frond Nightgown,Palm Frond,Girls,Sleepwear,Girls Sleepwear,Nightgown,Summer,New,Wholesale,2025,452,17570.51,805,366
ST-0037,Holiday Holly Nightgown,Holiday Holly,Girls,Sleepwear,Girls Sleepwear,Nightgown,Holiday,Carryover,Retail Stores,2026,316,17348.95,666,430
ST-0067,Snowdrop Bubble,Snowdrop,Baby,Rompers,Baby Rompers,Bubble,Holiday,New,Retail Stores,2026,359,17325.89,754,418
ST-0058,Holiday Holly Two-Piece Set,Holiday Holly,Boys,Sets,Boys Sets,Two-Piece Set,Holiday,New,Retail Stores,2025,252,17246.4,435,108
ST-0074,Pomegranate Footie,Pomegranate,Baby,Sleepwear,Baby Sleepwear,Footie,Fall,New,Retail Stores,2026,443,17174.43,846,357
ST-0053,Strawberry Fields Pant,Strawberry Fields,Boys,Bottoms,Boys Bottoms,Pant,Summer,New,Retail Stores,2026,404,16957.66,649,233
ST-0089,Tulip Garden Blouse,Tulip Garden,Women,Tops,Women Tops,Blouse,Spring,New,Wholesale,2026,271,16778.37,340,174
ST-0029,Hydrangea Rash Guard Set,Hydrangea,Girls,Swim,Girls Swim,Rash Guard Set,Spring,New,Retail Stores,2025,311,16706.41,575,325
ST-0017,Seashell Short,Seashell,Girls,Bottoms,Girls Bottoms,Short,Summer,New,Retail Stores,2025,427,16460.77,598,376
ST-0074,Pomegranate Footie,Pomegranate,Baby,Sleepwear,Baby Sleepwear,Footie,Fall,New,Wholesale,2026,541,16355.95,890,541
ST-0083,Snowdrop Bib Set,Snowdrop,Baby,Accessories,Baby Accessories,Bib Set,Holiday,Carryover,Retail Stores,2025,739,16351.9,1061,580
ST-0073,Seashell Footie,Seashell,Baby,Sleepwear,Baby Sleepwear,Footie,Summer,New,Retail Stores,2025,418,16327.3,718,398
ST-0082,Hydrangea Bib Set,Hydrangea,Baby,Accessories,Baby Accessories,Bib Set,Spring,New,Wholesale,2026,853,15962.02,1396,405
ST-0063,Strawberry Fields PJ Set,Strawberry Fields,Boys,Sleepwear,Boys Sleepwear,PJ Set,Summer,New,Wholesale,2026,408,15860.1,804,512
ST-0033,Snowdrop PJ Set,Snowdrop,Girls,Sleepwear,Girls Sleepwear,PJ Set,Holiday,New,Wholesale,2026,403,15665.74,321,123
ST-0055,Candy Cane Stripe Pant,Candy Cane Stripe,Boys,Bottoms,Boys Bottoms,Pant,Holiday,Carryover,Retail Stores,2025,383,15575.51,746,553
ST-0082,Hydrangea Bib Set,Hydrangea,Baby,Accessories,Baby Accessories,Bib Set,Spring,New,Retail Stores,2025,637,15488.23,1163,380
ST-0081,Holiday Holly Bonnet,Holiday Holly,Baby,Accessories,Baby Accessories,Bonnet,Holiday,New,Wholesale,2025,768,15477.35,1032,259
ST-0051,Autumn Gingham Short,Autumn Gingham,Boys,Bottoms,Boys Bottoms,Short,Fall,New,Retail Stores,2026,393,15262.21,758,466
ST-0076,Lemon Grove PJ Set,Lemon Grove,Baby,Sleepwear,Baby Sleepwear,PJ Set,Summer,Carryover,Wholesale,2025,473,14981.23,524,285
ST-0028,Tulip Garden One-Piece,Tulip Garden,Girls,Swim,Girls Swim,One-Piece,Spring,New,Wholesale,2026,358,14947.5,393,321
ST-0075,Tulip Garden PJ Set,Tulip Garden,Baby,Sleepwear,Baby Sleepwear,PJ Set,Spring,New,Retail Stores,2026,334,14945.18,467,242
ST-0047,Wildflower Polo,Wildflower,Boys,Tops,Boys Tops,Polo,Fall,Carryover,Retail Stores,2025,315,14921.1,634,217
ST-0079,Seashell Bonnet,Seashell,Baby,Accessories,Baby Accessories,Bonnet,Summer,Carryover,Wholesale,2026,794,14857.96,1333,545
ST-0053,Strawberry Fields Pant,Strawberry Fields,Boys,Bottoms,Boys Bottoms,Pant,Summer,New,Retail Stores,2025,350,14385.02,490,189
ST-0031,Strawberry Fields PJ Set,Strawberry Fields,Girls,Sleepwear,Girls Sleepwear,PJ Set,Summer,Carryover,Retail Stores,2026,309,13914.39,537,435
ST-0067,Snowdrop Bubble,Snowdrop,Baby,Rompers,Baby Rompers,Bubble,Holiday,New,Wholesale,2026,351,13644.35,583,136
ST-0079,Seashell Bonnet,Seashell,Baby,Accessories,Baby Accessories,Bonnet,Summer,Carryover,Retail Stores,2026,577,13390.27,1181,356
ST-0036,Autumn Gingham Nightgown,Autumn Gingham,Girls,Sleepwear,Girls Sleepwear,Nightgown,Fall,New,Retail Stores,2025,315,13288.37,549,423
ST-0080,Pomegranate Bonnet,Pomegranate,Baby,Accessories,Baby Accessories,Bonnet,Fall,Carryover,Wholesale,2026,657,13240.39,1006,407
ST-0007,Cherry Blossom Blouse,Cherry Blossom,Girls,Tops,Girls Tops,Blouse,Spring,Carryover,Retail Stores,2025,224,13034.58,311,149
ST-0078,Tulip Garden Bonnet,Tulip Garden,Baby,Accessories,Baby Accessories,Bonnet,Spring,New,Ecommerce,2026,488,12918.15,799,469
ST-0083,Snowdrop Bib Set,Snowdrop,Baby,Accessories,Baby Accessories,Bib Set,Holiday,Carryover,Retail Stores,2026,573,12661.22,774,408
ST-0083,Snowdrop Bib Set,Snowdrop,Baby,Accessories,Baby Accessories,Bib Set,Holiday,Carryover,Wholesale,2025,731,12626.41,935,384
ST-0025,Hydrangea Romper,Hydrangea,Girls,Sets,Girls Sets,Romper,Spring,New,Wholesale,2026,282,12586.44,287,215
ST-0082,Hydrangea Bib Set,Hydrangea,Baby,Accessories,Baby Accessories,Bib Set,Spring,New,Ecommerce,2026,497,12567.26,591,187
ST-0021,Seashell Skirt,Seashell,Girls,Bottoms,Girls Bottoms,Skirt,Summer,New,Retail Stores,2025,288,12515.87,267,152
ST-0049,Cherry Blossom Short,Cherry Blossom,Boys,Bottoms,Boys Bottoms,Short,Spring,Carryover,Wholesale,2025,383,12130.69,467,204
ST-0092,Winter Fair Isle Blouse,Winter Fair Isle,Women,Tops,Women Tops,Blouse,Holiday,New,Wholesale,2025,179,12113.43,262,3
ST-0081,Holiday Holly Bonnet,Holiday Holly,Baby,Accessories,Baby Accessories,Bonnet,Holiday,New,Retail Stores,2026,482,11915.34,595,386
ST-0019,Garden Trellis Legging,Garden Trellis,Girls,Bottoms,Girls Bottoms,Legging,Spring,New,Wholesale,2025,371,11750.61,355,298
ST-0082,Hydrangea Bib Set,Hydrangea,Baby,Accessories,Baby Accessories,Bib Set,Spring,New,Retail Stores,2026,489,11615.12,729,365
ST-0069,Autumn Gingham Coverall,Autumn Gingham,Baby,Rompers,Baby Rompers,Coverall,Fall,New,Wholesale,2026,326,11264.21,589,273
ST-0073,Seashell Footie,Seashell,Baby,Sleepwear,Baby Sleepwear,Footie,Summer,New,Retail Stores,2026,272,11198.49,356,141
ST-0082,Hydrangea Bib Set,Hydrangea,Baby,Accessories,Baby Accessories,Bib Set,Spring,New,Wholesale,2025,598,11190.25,1171,453
ST-0028,Tulip Garden One-Piece,Tulip Garden,Girls,Swim,Girls Swim,One-Piece,Spring,New,Retail Stores,2026,191,10423.83,400,220
ST-0009,Acorn Toile Blouse,Acorn Toile,Girls,Tops,Girls Tops,Blouse,Fall,New,Wholesale,2026,266,10340.16,395,259
ST-0069,Autumn Gingham Coverall,Autumn Gingham,Baby,Rompers,Baby Rompers,Coverall,Fall,New,Retail Stores,2026,227,10328.84,355,178
ST-0078,Tulip Garden Bonnet,Tulip Garden,Baby,Accessories,Baby Accessories,Bonnet,Spring,New,Retail Stores,2026,369,10273.1,763,476
ST-0067,Snowdrop Bubble,Snowdrop,Baby,Rompers,Baby Rompers,Bubble,Holiday,New,Retail Stores,2025,197,10041.13,275,49
ST-0092,Winter Fair Isle Blouse,Winter Fair Isle,Women,Tops,Women Tops,Blouse,Holiday,New,Wholesale,2026,146,9880.23,320,251
ST-0079,Seashell Bonnet,Seashell,Baby,Accessories,Baby Accessories,Bonnet,Summer,Carryover,Wholesale,2025,513,9599.66,973,749
ST-0090,Palm Frond Blouse,Palm Frond,Women,Tops,Women Tops,Blouse,Summer,New,Wholesale,2025,158,9554.7,171,43
ST-0078,Tulip Garden Bonnet,Tulip Garden,Baby,Accessories,Baby Accessories,Bonnet,Spring,New,Retail Stores,2025,322,9220.69,446,145
ST-0080,Pomegranate Bonnet,Pomegranate,Baby,Accessories,Baby Accessories,Bonnet,Fall,Carryover,Retail Stores,2026,357,9208.71,422,180
ST-0053,Strawberry Fields Pant,Strawberry Fields,Boys,Bottoms,Boys Bottoms,Pant,Summer,New,Wholesale,2025,285,9026.75,432,127
ST-0081,Holiday Holly Bonnet,Holiday Holly,Baby,Accessories,Baby Accessories,Bonnet,Holiday,New,Retail Stores,2025,347,8689.17,726,557
ST-0080,Pomegranate Bonnet,Pomegranate,Baby,Accessories,Baby Accessories,Bonnet,Fall,Carryover,Retail Stores,2025,325,8189.6,504,296
ST-0079,Seashell Bonnet,Seashell,Baby,Accessories,Baby Accessories,Bonnet,Summer,Carryover,Retail Stores,2025,354,8140.68,640,169
ST-0090,Palm Frond Blouse,Palm Frond,Women,Tops,Women Tops,Blouse,Summer,New,Wholesale,2026,107,6470.59,156,115
